YEAR,IITTRHB
1/1/13,7
1/1/14,7
1/1/15,7
1/1/16,15
1/1/17,67
1/1/18,77
1/1/19,73
1/1/20,73
1/1/21,73
1/1/22,58
1/1/23,43.5
1/1/24,46
1/1/25,25
1/1/26,25
1/1/27,25
1/1/28,25
1/1/29,24
1/1/30,25
1/1/31,25
1/1/32,63
1/1/33,63
1/1/34,63
1/1/35,63
1/1/36,79
1/1/37,79
1/1/38,79
1/1/39,79
1/1/40,81.1
1/1/41,81
1/1/42,88
1/1/43,88
1/1/44,94
1/1/45,94
1/1/46,86.45
1/1/47,86.45
1/1/48,82.13
1/1/49,82.13
1/1/50,84.36
1/1/51,91
1/1/52,92
1/1/53,92
1/1/54,91
1/1/55,91
1/1/56,91
1/1/57,91
1/1/58,91
1/1/59,91
1/1/60,91
1/1/61,91
1/1/62,91
1/1/63,91
1/1/64,77
1/1/65,70
1/1/66,70
1/1/67,70
1/1/68,75.25
1/1/69,77
1/1/70,71.75
1/1/71,70
1/1/72,70
1/1/73,70
1/1/74,70
1/1/75,70
1/1/76,70
1/1/77,70
1/1/78,70
1/1/79,70
1/1/80,70
1/1/81,69.125
1/1/82,50
1/1/83,50
1/1/84,50
1/1/85,50
1/1/86,50
1/1/87,38.5
1/1/88,28
1/1/89,28
1/1/90,28
1/1/91,31
1/1/92,31
1/1/93,39.6
1/1/94,39.6
1/1/95,39.6
1/1/96,39.6
1/1/97,39.6
1/1/98,39.6
1/1/99,39.6
1/1/00,39.6
1/1/01,39.1
1/1/02,38.6
1/1/03,35
1/1/04,35
1/1/05,35
1/1/06,35
1/1/07,35
1/1/08,35
1/1/09,35
1/1/10,35
1/1/11,35
1/1/12,35
1/1/13,39.6
1/1/14,39.6
1/1/15,39.6
1/1/16,39.6
1/1/17,39.6
1/1/18,37
