DATE,PPIACO
1/1/13,12.1
2/1/13,12
3/1/13,12
4/1/13,12
5/1/13,11.9
6/1/13,11.9
7/1/13,12
8/1/13,12
9/1/13,12.2
10/1/13,12.2
11/1/13,12.1
12/1/13,11.9
1/1/14,11.8
2/1/14,11.8
3/1/14,11.7
4/1/14,11.7
5/1/14,11.6
6/1/14,11.6
7/1/14,11.6
8/1/14,12
9/1/14,12.1
10/1/14,11.7
11/1/14,11.7
12/1/14,11.6
1/1/15,11.8
2/1/15,11.8
3/1/15,11.8
4/1/15,11.8
5/1/15,11.9
6/1/15,11.8
7/1/15,11.9
8/1/15,11.8
9/1/15,11.8
10/1/15,12.1
11/1/15,12.3
12/1/15,12.8
1/1/16,13.3
2/1/16,13.5
3/1/16,13.9
4/1/16,14.1
5/1/16,14.2
6/1/16,14.3
7/1/16,14.4
8/1/16,14.7
9/1/16,15
10/1/16,15.7
11/1/16,16.8
12/1/16,17.1
1/1/17,17.6
2/1/17,18
3/1/17,18.5
4/1/17,19.7
5/1/17,20.8
6/1/17,21
7/1/17,21.2
8/1/17,21.5
9/1/17,21.3
10/1/17,21.1
11/1/17,21.2
12/1/17,21.2
1/1/18,21.6
2/1/18,21.1
3/1/18,21.8
4/1/18,22.1
5/1/18,22.1
6/1/18,22.2
7/1/18,22.7
8/1/18,23.2
9/1/18,23.7
10/1/18,23.5
11/1/18,23.5
12/1/18,23.5
1/1/19,23.2
2/1/19,22.4
3/1/19,22.6
4/1/19,22.9
5/1/19,23.3
6/1/19,23.4
7/1/19,24.3
8/1/19,24.9
9/1/19,24.3
10/1/19,24.4
11/1/19,24.9
12/1/19,26
1/1/20,27.2
2/1/20,27.1
3/1/20,27.3
4/1/20,28.5
5/1/20,28.8
6/1/20,28.7
7/1/20,28.6
8/1/20,27.8
9/1/20,26.8
10/1/20,24.9
11/1/20,23
12/1/20,20.8
1/1/21,19.6
2/1/21,18.1
3/1/21,17.7
4/1/21,17
5/1/21,16.6
6/1/21,16.1
7/1/21,16.1
8/1/21,16.1
9/1/21,16.1
10/1/21,16.2
11/1/21,16.2
12/1/21,16
1/1/22,15.7
2/1/22,16
3/1/22,16
4/1/22,16.1
5/1/22,16.6
6/1/22,16.6
7/1/22,17.1
8/1/22,17
9/1/22,17.1
10/1/22,17.2
11/1/22,17.3
12/1/22,17.3
1/1/23,17.6
2/1/23,17.8
3/1/23,18
4/1/23,17.9
5/1/23,17.5
6/1/23,17.3
7/1/23,17
8/1/23,16.9
9/1/23,17.2
10/1/23,17.1
11/1/23,17
12/1/23,16.9
1/1/24,17.2
2/1/24,17.2
3/1/24,17
4/1/24,16.7
5/1/24,16.5
6/1/24,16.4
7/1/24,16.5
8/1/24,16.7
9/1/24,16.7
10/1/24,16.9
11/1/24,17.1
12/1/24,17.5
1/1/25,17.7
2/1/25,17.9
3/1/25,17.9
4/1/25,17.5
5/1/25,17.5
6/1/25,17.7
7/1/25,18
8/1/25,17.9
9/1/25,17.8
10/1/25,17.8
11/1/25,18
12/1/25,17.8
1/1/26,17.8
2/1/26,17.6
3/1/26,17.3
4/1/26,17.3
5/1/26,17.3
6/1/26,17.3
7/1/26,17.1
8/1/26,17.1
9/1/26,17.2
10/1/26,17.1
11/1/26,17
12/1/26,16.9
1/1/27,16.4
2/1/27,16.6
3/1/27,16.5
4/1/27,16.3
5/1/27,16.2
6/1/27,16.2
7/1/27,16.2
8/1/27,16.4
9/1/27,16.6
10/1/27,16.7
11/1/27,16.6
12/1/27,16.6
1/1/28,16.6
2/1/28,16.5
3/1/28,16.5
4/1/28,16.7
5/1/28,16.8
6/1/28,16.7
7/1/28,16.8
8/1/28,16.8
9/1/28,17
10/1/28,16.7
11/1/28,16.5
12/1/28,16.5
1/1/29,16.5
2/1/29,16.4
3/1/29,16.6
4/1/29,16.5
5/1/29,16.3
6/1/29,16.4
7/1/29,16.6
8/1/29,16.6
9/1/29,16.6
10/1/29,16.4
11/1/29,16.1
12/1/29,16.1
