Month,LTOTL
11/20/14,229.1
11/27/14,251.968
12/4/14,255.037
12/11/14,254.429
12/18/14,251.94
12/24/14,253.633
12/31/14,259.793
1/8/15,269.243
1/15/15,279.023
1/22/15,286.106
1/29/15,281.794
2/5/15,287.101
2/12/15,289.181
2/19/15,290.398
2/26/15,295.664
3/5/15,294.275
3/12/15,295.035
3/19/15,297.062
3/26/15,297.106
4/2/15,303.551
4/9/15,304.536
4/16/15,304.972
4/23/15,309.964
4/30/15,308.534
5/7/15,307.606
5/14/15,312.243
5/21/15,308.339
5/28/15,306.089
6/4/15,303.347
6/11/15,317.086
6/18/15,316.128
6/25/15,327.256
7/2/15,312.353
7/9/15,311.283
7/16/15,313.743
7/23/15,316.993
7/30/15,322.871
8/6/15,323.154
8/13/15,319.789
8/20/15,328.139
8/27/15,335.294
9/3/15,333.512
9/10/15,348.648
9/17/15,351.439
9/24/15,362.952
10/1/15,356.909
10/8/15,359.599
10/15/15,361.097
10/22/15,373.046
10/29/15,375.113
11/5/15,377.871
11/12/15,391.346
11/19/15,416.919
11/26/15,430.496
12/3/15,430.5
12/10/15,427.171
12/17/15,434.376
12/23/15,435.907
12/30/15,436.195
1/7/16,444.192
1/14/16,452.68
1/21/16,456.437
1/28/16,462.878
2/4/16,459.09
2/11/16,458.506
2/18/16,454.665
2/25/16,458.603
3/3/16,464.537
3/10/16,467.703
3/17/16,466.671
3/24/16,475.088
3/31/16,468.476
4/7/16,471.402
4/14/16,472.699
4/21/16,464.864
4/28/16,464.842
5/5/16,470.832
5/12/16,476.343
5/19/16,513.501
5/26/16,530.475
6/2/16,519.889
6/9/16,528.928
6/16/16,543.033
6/23/16,548.338
6/30/16,570.103
7/7/16,591.504
7/14/16,584.473
7/21/16,558.34
7/28/16,559.884
8/4/16,560.219
8/11/16,555.669
8/18/16,569.083
8/25/16,568.248
9/1/16,552.012
9/8/16,577.188
9/15/16,572.326
9/22/16,576.278
9/29/16,577.348
10/6/16,573.267
10/13/16,582.571
10/20/16,577.63
10/27/16,595.433
11/3/16,595.155
11/10/16,595.236
11/17/16,663.513
11/24/16,679.349
12/1/16,654.424
12/8/16,659.57
12/15/16,685.32
12/22/16,694.795
12/29/16,712.531
1/5/17,814.035
1/12/17,833.412
1/19/17,822.177
1/26/17,824.62
2/2/17,826.266
2/9/17,804.299
2/16/17,838.259
2/23/17,834.291
3/2/17,859.646
3/9/17,855.004
3/16/17,886.172
3/23/17,861.844
3/30/17,858.405
4/6/17,925.031
4/13/17,928.481
4/20/17,930.333
4/27/17,967.18
5/4/17,1018.319
5/11/17,1152.303
5/18/17,1098.805
5/25/17,1162.612
6/1/17,981.324
6/8/17,1219.547
6/15/17,1355.172
6/22/17,1942.471
6/29/17,1996.164
7/6/17,1976.103
7/13/17,2017.109
7/20/17,2058.401
7/27/17,1963.412
8/3/17,1940.563
8/10/17,1930.293
8/17/17,1990.349
8/24/17,1942.656
8/31/17,1999.477
9/7/17,2015.458
9/14/17,2022.366
9/21/17,2072.825
9/28/17,2144.294
10/5/17,2240.606
10/12/17,2356.741
10/19/17,2385.994
10/26/17,2465.736
11/2/17,2657.243
11/9/17,2631.825
11/16/17,2945.715
11/23/17,2888.994
11/30/17,3036.343
12/7/17,2932.788
12/14/17,3056.114
12/21/17,3073.104
12/28/17,3032.247
1/4/18,3054.939
1/11/18,3032.343
1/18/18,3163.414
1/25/18,3095.802
2/1/18,3102.269
2/8/18,3061.314
2/15/18,3071.808
2/21/18,3102.015
3/1/18,3186.243
3/8/18,3215.151
3/15/18,3255.053
3/22/18,3328.25
3/29/18,3370.627
4/5/18,3384.031
4/12/18,3436.613
4/19/18,3423.254
4/26/18,3490.742
5/3/18,3471.84
5/10/18,3696.243
5/17/18,3497.106
5/24/18,3508.704
5/31/18,3609.62
6/7/18,3634.907
6/14/18,3772.866
6/21/18,3729.788
6/28/18,3795.141
7/5/18,3966.865
7/12/18,4040.264
7/19/18,4088.605
7/26/18,4087.828
8/2/18,4033.886
8/9/18,4156.883
8/16/18,4164.29
8/23/18,4275.103
8/30/18,4286.253
9/6/18,4480.38
9/13/18,4626.106
9/20/18,4646.943
9/27/18,4737.559
10/4/18,4819.349
10/10/18,4931.044
10/18/18,4983.025
10/25/18,5190.461
11/1/18,4971.62
11/8/18,5023.286
11/15/18,5067.381
11/22/18,5138.368
11/29/18,5113.782
12/6/18,5087.271
12/13/18,5153.308
12/20/18,5206.415
12/27/18,5170.175
1/3/19,5182.338
1/10/19,5037.881
1/17/19,5083.945
1/24/19,5029.1
1/31/19,4971.704
2/7/19,4866.816
2/14/19,5090.579
2/21/19,5009.048
2/28/19,5102.546
3/7/19,5073.906
3/14/19,5116.775
3/21/19,5242.347
3/28/19,5098.821
4/4/19,5071.261
4/11/19,5141.418
4/18/19,5117.406
4/25/19,5121.206
5/2/19,5170.562
5/9/19,5145.029
5/16/19,5308.38
5/23/19,5184.215
5/29/19,5189.73
6/6/19,5083.324
6/13/19,5340.006
6/20/19,5323.228
6/27/19,5155.778
7/3/19,5259.21
7/11/19,5319.259
7/18/19,5340.36
7/25/19,5201.967
8/1/19,5231.333
8/8/19,5285.407
8/15/19,5387.701
8/22/19,5278.279
8/29/19,5269.824
9/5/19,5418.838
9/12/19,5524.849
9/19/19,5520.314
9/26/19,5465.507
10/3/19,5615.694
10/10/19,5665.571
10/17/19,5995.185
10/24/19,5771.68
10/31/19,5772.244
11/7/19,5914.252
11/14/19,5991.904
11/21/19,5969.569
11/28/19,6061.953
12/5/19,5873.336
12/12/19,5991.152
12/19/19,6056.468
12/26/19,6157.006
1/2/20,6296.537
1/9/20,5926.556
1/16/20,6064.797
1/23/20,5964.038
1/30/20,5866.4
2/6/20,5831.446
2/13/20,6075.581
2/20/20,6067.836
2/27/20,6205.534
3/5/20,5957.517
3/12/20,5948.54
3/19/20,5944.827
3/26/20,5836.592
4/2/20,5929.189
4/9/20,5856.592
4/16/20,6024.03
4/23/20,5896.841
4/30/20,5838.708
5/7/20,5813.573
5/14/20,5972.844
