Month/Year,Value
1/1/13,68.7
2/1/13,67.8
3/1/13,67.4
4/1/13,67.1
5/1/13,66.5
6/1/13,66.9
7/1/13,68.1
8/1/13,69.1
9/1/13,71
10/1/13,71.2
11/1/13,71.6
12/1/13,70
1/1/14,69.5
2/1/14,69.1
3/1/14,68.9
4/1/14,68.4
5/1/14,67.7
6/1/14,67.6
7/1/14,67.3
8/1/14,67.8
9/1/14,67.4
10/1/14,64.6
11/1/14,65.4
12/1/14,65.8
1/1/15,67.9
2/1/15,68
3/1/15,66.7
4/1/15,67
5/1/15,66.8
6/1/15,65.4
7/1/15,66.4
8/1/15,66.3
9/1/15,65.5
10/1/15,67.7
11/1/15,68.1
12/1/15,70.9
1/1/16,75.5
2/1/16,75.4
3/1/16,75.9
4/1/16,76.3
5/1/16,76.6
6/1/16,76.3
7/1/16,77.6
8/1/16,81.5
9/1/16,84.1
10/1/16,90
11/1/16,101.2
12/1/16,102.1
1/1/17,107.1
2/1/17,110.6
3/1/17,113
4/1/17,118.8
5/1/17,128.5
6/1/17,128.6
7/1/17,126.7
8/1/17,128.3
9/1/17,124.1
10/1/17,126.2
11/1/17,130.3
12/1/17,129.2
1/1/18,133.2
2/1/18,133.3
3/1/18,133.9
4/1/18,133.7
5/1/18,131.5
6/1/18,131.5
7/1/18,136
8/1/18,139.8
9/1/18,142.7
10/1/18,139
11/1/18,138.8
12/1/18,139.9
1/1/19,140.2
2/1/19,136.1
3/1/19,138.4
4/1/19,143.1
5/1/19,147.1
6/1/19,145.2
7/1/19,152.2
8/1/19,152.5
9/1/19,145.5
10/1/19,146.4
11/1/19,150.2
12/1/19,154.6
1/1/20,159.8
2/1/20,155.1
3/1/20,155.7
4/1/20,161.8
5/1/20,163.4
6/1/20,166
7/1/20,166.1
8/1/20,160.6
9/1/20,154.4
10/1/20,140.6
11/1/20,127.4
12/1/20,111.4
1/1/21,105.4
2/1/21,93.5
3/1/21,89.6
4/1/21,85
5/1/21,84.6
6/1/21,81.2
7/1/21,83.6
8/1/21,85.1
9/1/21,85.8
10/1/21,87.9
11/1/21,88.9
12/1/21,89.3
1/1/22,89.3
2/1/22,93.3
3/1/22,91.7
4/1/22,91.6
5/1/22,95.9
6/1/22,93.5
7/1/22,101.2
8/1/22,100.4
9/1/22,99.8
10/1/22,97.8
11/1/22,99.2
12/1/22,99.9
1/1/23,102.3
2/1/23,103.2
3/1/23,102.8
4/1/23,100.7
5/1/23,98.1
6/1/23,96.5
7/1/23,94.5
8/1/23,95.2
9/1/23,98
10/1/23,97.7
11/1/23,97
12/1/23,96.6
1/1/24,97.9
2/1/24,98.2
3/1/24,96.5
4/1/24,96.3
5/1/24,94.4
6/1/24,93.3
7/1/24,95.9
8/1/24,97.9
9/1/24,97.1
10/1/24,99.3
11/1/24,100.1
12/1/24,103.2
1/1/25,106.9
2/1/25,107.8
3/1/25,108
4/1/25,103.9
5/1/25,104.1
6/1/25,106.3
7/1/25,109
8/1/25,108
9/1/25,107.3
10/1/25,106.3
11/1/25,107.4
12/1/25,105.7
1/1/26,105.9
2/1/26,103.7
3/1/26,100.9
4/1/26,100.6
5/1/26,100.6
6/1/26,100
7/1/26,98.5
8/1/26,97.8
9/1/26,99.3
10/1/26,99.5
11/1/26,98.2
12/1/26,96.9
1/1/27,97.3
2/1/27,96
3/1/27,94
4/1/27,92.7
5/1/27,93.9
6/1/27,94.1
7/1/27,94.7
8/1/27,97.6
9/1/27,99.9
10/1/27,99.5
11/1/27,99
12/1/27,99.2
1/1/28,100.3
2/1/28,99.1
3/1/28,98.1
4/1/28,100.2
5/1/28,101.4
